chunk_id,source_id,record_type,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MSCS_ACT_2002_SEC_70_SUB_3,MSCS_ACT_2002,child,act,Central,41,271,43,43,70,3,,,,Appointment and remuneration of auditors,multistate;registrar;reporting,
MSCS_ACT_2002_SEC_70_SUB_4,MSCS_ACT_2002,child,act,Central,111,665,43,43,70,4,,,,Appointment and remuneration of auditors,meetings;membership;multistate,
MSCS_ACT_2002_SEC_70_SUB_5,MSCS_ACT_2002,child,act,Central,24,146,43,43,70,5,,,,Appointment and remuneration of auditors,meetings;registrar,
MSCS_ACT_2002_SEC_70_SUB_6,MSCS_ACT_2002,child,act,Central,150,911,43,44,70,6,,,,Appointment and remuneration of auditors,meetings;membership;multistate;registration,
MSCS_ACT_2002_SEC_70_SUB_7,MSCS_ACT_2002,child,act,Central,79,483,44,44,70,7,,,,Appointment and remuneration of auditors,meetings;multistate,
MSCS_ACT_2002_SEC_70_SUB_8,MSCS_ACT_2002,child,act,Central,26,161,44,44,70,8,,,,Appointment and remuneration of auditors,meetings;multistate,
MSCS_ACT_2002_SEC_70_SUB_9,MSCS_ACT_2002,child,act,Central,103,630,44,44,70,9,,,,Appointment and remuneration of auditors,meetings;multistate;registrar,
MSCS_ACT_2002_SEC_71,MSCS_ACT_2002,child,act,Central,241,1514,44,45,71,,,,,Provision as to resolutions for appointing or removing auditors,meetings;membership;multistate,
MSCS_ACT_2002_SEC_72,MSCS_ACT_2002,child,act,Central,213,1333,45,45,72,,,,,Qualifications and disqualifications of auditors,membership;multistate,
MSCS_ACT_2002_SEC_73,MSCS_ACT_2002,parent,act,Central,593,3577,45,47,73,,,,,Powers and duties of auditors,documents;loans;meetings;membership;multistate,
MSCS_ACT_2002_SEC_73_SUB_1,MSCS_ACT_2002,child,act,Central,77,485,45,46,73,1,,,,Powers and duties of auditors,multistate,
MSCS_ACT_2002_SEC_73_SUB_2,MSCS_ACT_2002,child,act,Central,154,980,46,46,73,2,,,,Powers and duties of auditors,loans;membership;multistate,
MSCS_ACT_2002_SEC_73_SUB_3,MSCS_ACT_2002,child,act,Central,155,881,46,46,73,3,,,,Powers and duties of auditors,documents;meetings;membership;multistate,
MSCS_ACT_2002_SEC_73_SUB_4,MSCS_ACT_2002,child,act,Central,154,936,46,47,73,4,,,,Powers and duties of auditors,multistate,
MSCS_ACT_2002_SEC_73_SUB_5,MSCS_ACT_2002,child,act,Central,47,252,47,47,73,5,,,,Powers and duties of auditors,,
MSCS_ACT_2002_SEC_74,MSCS_ACT_2002,child,act,Central,46,290,47,47,74,,,,,Signature of audit report etc,documents;multistate,
MSCS_ACT_2002_SEC_75,MSCS_ACT_2002,child,act,Central,36,234,47,47,75,,,,,Reading and inspection of auditor’s report,meetings;membership;multistate,
MSCS_ACT_2002_SEC_76,MSCS_ACT_2002,child,act,Central,84,506,47,47,76,,,,,Right of auditor to attend general meeting,meetings;membership;multistate,
MSCS_ACT_2002_SEC_77,MSCS_ACT_2002,parent,act,Central,604,3693,47,49,77,,,,,Power of Central Government to direct special audit in certain,meetings;membership;multistate,
MSCS_ACT_2002_SEC_77_SUB_1,MSCS_ACT_2002,child,act,Central,223,1371,47,48,77,1,,,,Power of Central Government to direct special audit in certain,multistate,
MSCS_ACT_2002_SEC_77_SUB_2,MSCS_ACT_2002,child,act,Central,32,215,48,48,77,2,,,,Power of Central Government to direct special audit in certain,multistate,
MSCS_ACT_2002_SEC_77_SUB_3,MSCS_ACT_2002,child,act,Central,55,335,48,48,77,3,,,,Power of Central Government to direct special audit in certain,membership;multistate,
MSCS_ACT_2002_SEC_77_SUB_4,MSCS_ACT_2002,child,act,Central,53,295,48,48,77,4,,,,Power of Central Government to direct special audit in certain,,
MSCS_ACT_2002_SEC_77_SUB_5,MSCS_ACT_2002,child,act,Central,47,283,48,48,77,5,,,,Power of Central Government to direct special audit in certain,,
